video_name,channel_name,channel_id,date,region_code,category_Id,category,view,like,comment,channel_subscribers,channel_videoCount,popularity_%,engagement_%,growth_%,duration(sec),country,country_code
حجزت لليوتيوبرز اغرب سكن في كأس العالم قطر 😳,Aziz - عزيز,UCOeqhT9p_VmS8NOHQvhp2FQ,2022-11-21,BH,20,Gaming,327596,24630.0,245.0,1640000,935,7.52,0.07,19.98,560,Bahrain,BHR
أقوى مقلب في بوخلود من ارتفاع 30 الف قدم !! 🤯🚁,Loko Friends,UCQIFqvNXQavNXGpyy6LEp0A,2022-11-20,BH,24,Entertainment,491382,21978.0,309.0,2040000,149,4.47,0.06,24.09,789,Bahrain,BHR
هل تقدر ترفع مطرقة الثور؟,AboFlah,UCqq5n-Oe-r1EEHI3yvhVJcA,2022-11-18,BH,24,Entertainment,2509829,330360.0,11863.0,27300000,577,13.16,0.47,9.19,837,Bahrain,BHR
قضيت 24 ساعه في اغلى فندق في مدينتي | حللت كل ريال 😁,اميره ستار -  Amira Star,UClrOqBa5nNLHcV6hiB_eiuw,2022-11-19,BH,26,Howto & Style,915223,40287.0,2728.0,620000,85,4.4,0.3,147.62,1571,Bahrain,BHR
تحدي الثلاثين نسخة كأس العالم| طلحة أحمد يواجه سهيل الحويك🔥,M12 ALFOUZAN - قدم الكرة,UCqe2V_eejw-b5SeOw63TQNw,2022-11-18,BH,17,Sports,805824,93891.0,1874.0,1120000,65,11.65,0.23,71.95,1752,Bahrain,BHR
مين قال للثاني بحبك اول ؟ 🥵,Ghaith Marwan غيث مروان,UCFGZTrhn2GbEsgQ8-12-rIA,2022-11-17,BH,27,Education,4806539,341880.0,16243.0,4810000,261,7.11,0.34,99.93,583,Bahrain,BHR
تحدي فيفا كأس العالم - أقوى بطولة للتاريخ !! FIFA 23,Saud Brothers Gaming,UCsx34Mgq868blrmlALy9lJQ,2022-11-18,BH,22,People & Blogs,1261969,65168.0,2167.0,4280000,113,5.16,0.17,29.49,1516,Bahrain,BHR
محمود التركي - حاسد روحي ( حصريا ) | 2022 | Mahmoud Al Turky - Hasid Ruhi,Mahmoud Al Turky l محمود التركي,UCIsJg7LGbGH66m1ngFGqDCg,2022-11-10,BH,10,Music,6851356,123192.0,6037.0,1260000,27,1.8,0.09,543.76,213,Bahrain,BHR
اخر شخص تنكسر بيضته يفوز ! 🥚 (اقوى درع 🛡),POWR eSports,UCm6dEXyAMIy0njEOW-suLww,2022-11-18,BH,20,Gaming,1702662,134417.0,3643.0,2280000,270,7.89,0.21,74.68,1279,Bahrain,BHR
موقف سارة من معجبات غيث مروان,صباح الخير يا عرب,UCAxlHA5CgHE_53PVKqVA1Hw,2022-11-17,BH,1,Film & Animation,1660178,77858.0,1236.0,1260000,8416,4.69,0.07,131.76,564,Bahrain,BHR
قررت اني اقلد شخصيات اعضاء باور 😅! (جبت العيد 😂💔),POWR Ecnnu,UCbvO3w6mwFm9XwiRjAxXGqw,2022-11-17,BH,20,Gaming,819011,66569.0,1067.0,288000,22,8.13,0.13,284.38,838,Bahrain,BHR
ميمز كاس العالم 😂 (رسميًا طفرت💔),xSMA333,UCTGjKq1PZRXFMdsM1C39BMg,2022-11-18,BH,20,Gaming,359597,43815.0,776.0,1770000,153,12.18,0.22,20.32,697,Bahrain,BHR
هل منتجات التخسيس فعلا بتنحف؟,Ahmad Aburob ,UCQB9yZWLvcSNI9ruw74iF8Q,2022-11-16,BH,24,Entertainment,1979894,169077.0,5139.0,6060000,353,8.54,0.26,32.67,552,Bahrain,BHR
كيف تعيش يومك كامل بلون ابيض و اسود !؟😳,POWER Rakan,UCi2pntVKiXpmrEIrZtiytjg,2022-11-16,BH,22,People & Blogs,1030304,79933.0,1185.0,839000,131,7.76,0.12,122.8,1045,Bahrain,BHR
ملخص مباراة السنغال والإكوادور | السنغال تتخطّى الإكوادور وتعبر إلى ثمن النهائي,beIN SPORTS,UCJUCcJUeh0Cz2xyKwkw5Q1w,2022-11-29,DZ,17,Sports,1434554,29169.0,1717.0,8500000,3913,2.03,0.12,16.88,197,Algeria,DZA
خطوة نحو الأمام❤️وش رحت ندير ⁉️ روتين شتوي تحفيزي❤️,Amira Omari,UCDloHcFcUmVP3Cu5LD7a0GQ,2022-11-29,DZ,24,Entertainment,116377,5722.0,646.0,912000,204,4.92,0.56,12.76,831,Algeria,DZA
عزمنا أصحابنا على منسف أردني 😳شوفو شو صار😂 اقوى مقلب 😂,Mix & douha - مكس و ضحى,UC-B-lno1COMej2JDwDd3kfA,2022-11-29,DZ,22,People & Blogs,757149,105602.0,2489.0,864000,15,13.95,0.33,87.63,616,Algeria,DZA
ملخص مباراة البرتغال والأوروغواي - البرتغال تهزم أوروغواي وتبلغ ثمن النهائي,beIN SPORTS,UCJUCcJUeh0Cz2xyKwkw5Q1w,2022-11-28,DZ,17,Sports,2581021,49702.0,1324.0,8500000,3913,1.93,0.05,30.36,296,Algeria,DZA
مشاعر مؤثرة لحظة استقبال العائلة لنا بعد العودة من السفر | صاروا يبكوا 🥺,عصومي ووليد - Assomi & Waleed,UCPoGWDam0BC4nGe5aomgd2Q,2022-11-29,DZ,24,Entertainment,825868,50918.0,1852.0,8650000,445,6.17,0.22,9.55,642,Algeria,DZA
صيد الصقور في قطر - Falconry in Qatar 🇶🇦🦅,Khoubai,UCJgfj0DxWN0k1UuB5wiDf8A,2022-11-29,DZ,22,People & Blogs,88771,9981.0,696.0,1550000,85,11.24,0.78,5.73,697,Algeria,DZA
اخيرا فرشت اوضه النوم الجديده بتاعت حماتي 💃بقي عندها اوضه تفتخر بيها بكت من الفرحة 🥺,شروق علام,UCHLJsqHk_EEULrcbVp9UV7A,2022-11-29,DZ,22,People & Blogs,715351,46415.0,5140.0,435000,291,6.49,0.72,164.45,1414,Algeria,DZA
تحدي الثلاثين نسخة كأس العالم|كلاسيكو عبدالله النعيمي ومحمد سهيل 🔥,M12 ALFOUZAN - قدم الكرة,UCqe2V_eejw-b5SeOw63TQNw,2022-11-30,DZ,17,Sports,282450,44190.0,667.0,1120000,65,15.65,0.24,25.22,1722,Algeria,DZA
اغرب هدايا وصلتني في عيد ميلادي !!,elbasha _ برهوم باشا,UCAtqXkFpdm_wqYQdIPoARog,2022-11-29,DZ,22,People & Blogs,266272,38357.0,1422.0,730000,18,14.41,0.53,36.48,1056,Algeria,DZA
بودكاست | كيف قررنا نتحجب والصعوبات اللي واجهناها,Keana Land - كيانا لاند,UCyaezOQyzDI_hkGCdSbYZBg,2022-11-29,DZ,24,Entertainment,177231,23038.0,3357.0,450000,88,13.0,1.89,39.38,1599,Algeria,DZA
ITZY “Cheshire” M/V @ITZY,JYP Entertainment,UCaO6TYtlC8U5ttz62hTrZgg,2022-11-30,DZ,10,Music,3375142,537367.0,30969.0,26000000,1592,15.92,0.92,12.98,188,Algeria,DZA
تحدي لا تجيبها في الكوب الغلط !! ❌ 🥤,Ghaith Marwan غيث مروان,UCFGZTrhn2GbEsgQ8-12-rIA,2022-11-28,DZ,27,Education,1109762,102920.0,7250.0,4810000,261,9.27,0.65,23.07,643,Algeria,DZA
اغرب لعبة غميضة في بيتي | اكتشفنا اماكن جديدة 😱,Narins Beauty,UCWXYdNyGX01rnTB-tQci8JQ,2022-11-29,DZ,24,Entertainment,987309,76090.0,4627.0,13700000,418,7.71,0.47,7.21,718,Algeria,DZA
ملخص مباراة ويلز وإنكلترا | المنتخب الإنكليزي يتأهل إلى ثمن النهائي متصدراً للمجموعة الثانية,beIN SPORTS,UCJUCcJUeh0Cz2xyKwkw5Q1w,2022-11-29,DZ,17,Sports,1388618,27587.0,896.0,8500000,3913,1.99,0.06,16.34,302,Algeria,DZA
ضاع عمرك وأنت تحضري الكيك في الفرن ديري كلشي في الكسكاس وأضيفي هدا المكون السحري ما راح تصدق,وصفات لالة فاطمة Wasafat Lalla Fatima,UC-UVfTCPQaYPowrDMWPe6ow,2022-11-28,DZ,22,People & Blogs,440732,10581.0,397.0,2850000,516,2.4,0.09,15.46,516,Algeria,DZA
"EXAMS week in my LIFE📚🪴|اسبوع الإمتحانات😖🥺(do my resumes,Study motivation🗂️,shopping🛍️..)",SANAE SLAAAY,UCXagOfn_qdQbahjaX9dY_ug,2022-11-29,DZ,26,Howto & Style,232397,16490.0,988.0,385000,145,7.1,0.43,60.36,1505,Algeria,DZA
Cheb Hamidou & Zakzouk | Choufouli Tbib Ydawi _ شوفولي طبيب يداوي Clip Officiel 2022,Cheb Hamidou,UC8PMQx5G-pIKnDDZIHLIglQ,2022-11-28,DZ,10,Music,129439,5328.0,155.0,1060000,103,4.12,0.12,12.21,284,Algeria,DZA
