id,video_name,channel_name,channel_id,date,duration,region_code,region_name,category,statistics,channel_stat
32,Red Velvet 레드벨벳 'Birthday' MV,SMTOWN,UCEf_Bc-KVd7onSeifS3py9g,2022-11-28T09:00:14Z,PT4M5S,AE,United Arab Emirates,10,"{'viewCount': '7407277', 'likeCount': '633359', 'favoriteCount': '0', 'commentCount': '31369'}","{'viewCount': '25933131150', 'subscriberCount': '31100000', 'hiddenSubscriberCount': False, 'videoCount': '4003'}"
33,من 0.01$ الى كأس العالم قطر في 30 يوم! اليوم #26,كمستكا,UC4kb-WfHhIQoKyd6ixL9kWw,2022-11-28T11:07:24Z,PT8M19S,AE,United Arab Emirates,20,"{'viewCount': '770745', 'likeCount': '75554', 'favoriteCount': '0', 'commentCount': '2555'}","{'viewCount': '86971614', 'subscriberCount': '1190000', 'hiddenSubscriberCount': False, 'videoCount': '86'}"
34,Egg Drop From Space,Mark Rober,UCY1kMZp36IQSyNx_9h4mpCg,2022-11-25T14:59:03Z,PT26M57S,AE,United Arab Emirates,28,"{'viewCount': '21378591', 'likeCount': '695557', 'favoriteCount': '0', 'commentCount': '24115'}","{'viewCount': '3136218445', 'subscriberCount': '23000000', 'hiddenSubscriberCount': False, 'videoCount': '111'}"
35,أول مرة نجرب الكرفان في البر ( دخل علينا فجأة ) !!,قناة سعود Saud Channel l,UC7loSNYw43oSTLlThtm_Ytw,2022-11-25T15:29:14Z,PT27M45S,AE,United Arab Emirates,24,"{'viewCount': '2305627', 'likeCount': '146066', 'favoriteCount': '0', 'commentCount': '4077'}","{'viewCount': '1779486491', 'subscriberCount': '9050000', 'hiddenSubscriberCount': False, 'videoCount': '344'}"
36,🎈😱.. سجنت اخواتي في غرفة كلها بالون!! تخانقوا,Sherin Amara,UCJpTKAPjRh-ThyHXN6r7kxg,2022-11-26T16:07:54Z,PT15M28S,AE,United Arab Emirates,23,"{'viewCount': '933691', 'likeCount': '55552', 'favoriteCount': '0', 'commentCount': '1540'}","{'viewCount': '494630823', 'subscriberCount': '6270000', 'hiddenSubscriberCount': False, 'videoCount': '210'}"
37,India Vs New Zealand | 1st Odi Match | Full Highlights | Ind Vs Nz | 25-11-2022 | Highlights,AA TV HD,UCyCmQiBRpWXcZBC4mu5mlOg,2022-11-25T09:37:18Z,PT11M45S,AE,United Arab Emirates,24,"{'viewCount': '378512', 'likeCount': '3107', 'favoriteCount': '0', 'commentCount': '208'}","{'viewCount': '18637125', 'subscriberCount': '111000', 'hiddenSubscriberCount': False, 'videoCount': '422'}"
38,Brazil v Serbia (Group G) - Highlights - FIFA World Cup 2022™,SBS Sport ,UCn6UMS98Ox-B3jkSWlweJ2w,2022-11-24T21:21:54Z,PT2M51S,AE,United Arab Emirates,17,"{'viewCount': '5139306', 'likeCount': '52020', 'favoriteCount': '0', 'commentCount': '2280'}","{'viewCount': '20934051', 'subscriberCount': '84000', 'hiddenSubscriberCount': False, 'videoCount': '526'}"
39,Maher Zain & Humood - Tahayya | World Cup 2022 | ماهر زين و حمود الخضر - تهيّا,Awakening Music,UCBq5hp6DvwWam2XOXw6lYJA,2022-11-23T16:00:07Z,PT3M21S,AE,United Arab Emirates,10,"{'viewCount': '15521042', 'likeCount': '303154', 'favoriteCount': '0', 'commentCount': '17903'}","{'viewCount': '5093674224', 'subscriberCount': '12700000', 'hiddenSubscriberCount': False, 'videoCount': '736'}"
40,ميسي غير 🔥 والحكم قتل المنتخب السعودي 😡 وهذه مشكلة المنتخب التونسي !,محمد عدنان Mohamad Adnan,UCxUPU7lI249SW_j5WgByJRA,2022-11-27T19:03:06Z,PT12M11S,AE,United Arab Emirates,17,"{'viewCount': '1902482', 'likeCount': '312370', 'favoriteCount': '0', 'commentCount': '5768'}","{'viewCount': '504640991', 'subscriberCount': '6060000', 'hiddenSubscriberCount': False, 'videoCount': '213'}"
41,1st ODI | Highlights | Afghanistan Tour Of Sri Lanka | 25th November 2022,Sony LIV,UCOQNJjhXwvAScuELTT_i7cQ,2022-11-26T04:27:16Z,PT15M17S,AE,United Arab Emirates,24,"{'viewCount': '2962711', 'likeCount': '60246', 'favoriteCount': '0', 'commentCount': '1620'}","{'viewCount': '6215935744', 'subscriberCount': '12600000', 'hiddenSubscriberCount': False, 'videoCount': '9225'}"
42,On Top (Full Video) Karan Aujla | Yeah Proof | New Punjabi Songs 2022,Karan Aujla,UC3XBkDeCVXCoCofFgfUZXGw,2022-11-25T05:25:06Z,PT3M7S,AE,United Arab Emirates,10,"{'viewCount': '10088976', 'likeCount': '308645', 'favoriteCount': '0', 'commentCount': '29680'}","{'viewCount': '18379134', 'subscriberCount': '209000', 'hiddenSubscriberCount': False, 'videoCount': '4'}"
43,اخر شخص يطلع من الرمل يفوز ( رعب الحشرات 🤣),POWR eSports,UCm6dEXyAMIy0njEOW-suLww,2022-11-27T11:01:15Z,PT18M7S,AE,United Arab Emirates,24,"{'viewCount': '1008460', 'likeCount': '85258', 'favoriteCount': '0', 'commentCount': '2153'}","{'viewCount': '274577736', 'subscriberCount': '2280000', 'hiddenSubscriberCount': False, 'videoCount': '270'}"
